Row_ID,Customer_ID,Customer_Name,Segment
42433,TB-11280,Toby Braunhardt,Consumer
22253,JH-15985,Joseph Holt,Consumer
48883,AT-735,Annie Thurman,Consumer
11731,EM-14140,Eugene Moren,Home Office
22255,JH-15985,Joseph Holt,Consumer
22254,JH-15985,Joseph Holt,Consumer
21613,PO-18865,Patrick O'Donnell,Consumer
34662,LC-17050,Liz Carlisle,Consumer
44508,DK-3150,David Kendrick,Corporate
23688,SP-20650,Stephanie Phelps,Corporate
25293,DK-13150,David Kendrick,Corporate
8483,DH-13075,Dave Hallsten,Corporate
41445,PO-8850,Patrick O'Brill,Consumer
16727,GH-14485,Gene Hale,Corporate
21615,PO-18865,Patrick O'Donnell,Consumer
8484,DH-13075,Dave Hallsten,Corporate
19796,RR-19315,Ralph Ritter,Consumer
21614,PO-18865,Patrick O'Donnell,Consumer
21616,PO-18865,Patrick O'Donnell,Consumer
16726,GH-14485,Gene Hale,Corporate
14413,IM-15055,Ionia McGrath,Consumer
14414,IM-15055,Ionia McGrath,Consumer
8482,DH-13075,Dave Hallsten,Corporate
44228,TP-11415,Tom Prescott,Consumer
13130,TS-21370,Todd Sumrall,Corporate
48599,RD-9900,Ruben Dartt,Consumer
15218,TB-21400,Tom Boeckenhauer,Consumer
37844,VF-21715,Vicky Freymann,Home Office
44230,TP-11415,Tom Prescott,Consumer
13131,TS-21370,Todd Sumrall,Corporate
48593,RD-9900,Ruben Dartt,Consumer
21917,KH-16360,Katherine Hughes,Consumer
31454,DB-13060,Dave Brooks,Consumer
48595,RD-9900,Ruben Dartt,Consumer
39607,GW-14605,Giulietta Weimer,Consumer
13132,TS-21370,Todd Sumrall,Corporate
39245,SC-20380,Shahid Collister,Consumer
44502,BS-1800,Bryan Spruell,Home Office
44503,BS-1800,Bryan Spruell,Home Office
44229,TP-11415,Tom Prescott,Consumer
14536,CM-12235,Chris McAfee,Consumer
48597,RD-9900,Ruben Dartt,Consumer
21443,RF-19345,Randy Ferguson,Corporate
26925,LH-17155,Logan Haushalter,Consumer
26926,LH-17155,Logan Haushalter,Consumer
11106,LO-17170,Lori Olson,Corporate
30176,LH-17155,Logan Haushalter,Consumer
48591,RD-9900,Ruben Dartt,Consumer
